Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.ehealth.sundhed.fhir.ig.core.json	602917	-	0	0	0	0	0	0	61	115	0	0	0	0	0	0	0	3	0	0	1048	581	0	0	0	43	0	4
fsh-generated/resources/Appointment-appointment01.json	2562	4	0	0	0	0	0	0	1	101	0	0	0	0	0	0	0	0	0	0	17	24	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-appointment01.json	5487	5	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	31	34	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-videoappointment01.json	4297	5	0	0	1	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	28	18	0	0	0	0	0	0
fsh-generated/resources/Appointment-videoappointment01.json	3432	5	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	23	15	0	0	0	0	0	1
fsh-generated/resources/CareTeam-108752.json	560	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	18	12	0	0	0	0	0	0
fsh-generated/resources/CareTeam-42.json	555	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	8	0	0	0	0	0	0
fsh-generated/resources/Condition-42.json	523	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	13	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-42.json	719	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	12	15	0	0	0	0	0	0
fsh-generated/resources/Organization-108752.json	2388	2	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	23	16	0	0	0	0	0	0
fsh-generated/resources/Organization-8564.json	2364	2	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0
fsh-generated/resources/Parameters-expParam.json	153	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	8	0	0	0	0	0	0
fsh-generated/resources/Patient-102.json	1550	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/Patient-291.json	651	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-107302.json	302	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-123.json	299	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0
fsh-generated/resources/Practitioner-42.json	298	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	7	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-relatedperson01.json	1179	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	16	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionTrigger.json	5724	3	0	43	0	0	0	0	0	88	0	0	1	0	0	0	0	1	0	0	127	293	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionguidance-for.json	3698	2	0	32	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	86	199	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionguidance-type.json	1450	2	0	28	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	39	148	0	0	0	1	0	1
