Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.ehealth.sundhed.fhir.ig.core.json	646792	-	0	0	0	0	0	0	31	129	0	0	0	0	0	0	0	3	0	0	1573	558	0	0	0	45	0	7
fsh-generated/resources/Appointment-appointment01.json	2562	3	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	12	17	0	0	0	0	0	1
fsh-generated/resources/Appointment-group-appointment01.json	5494	3	0	0	1	0	0	0	0	930	0	0	0	0	0	0	0	0	0	0	22	19	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-videoappointment01.json	4304	2	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	21	10	0	0	0	0	0	0
fsh-generated/resources/Appointment-videoappointment01.json	3439	2	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	18	7	0	0	0	0	0	0
fsh-generated/resources/CareTeam-108752.json	560	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	6	6	0	0	0	0	0	0
fsh-generated/resources/CareTeam-42.json	555	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MessageTypeCS.json	526	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	8	54	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ehealth-carecommunication-category.json	1853	1	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	49	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ehealth-carecommunication-priority.json	528	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	32	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-ehealth-message-channel.json	426	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	30	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ehealth-telecom-purpose.json	498	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	30	0	0	0	0	0	0
fsh-generated/resources/Condition-42.json	523	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	0
fsh-generated/resources/Consent-1.json	901	1	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0
fsh-generated/resources/Consent-23.json	1291	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	5	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-42.json	1102	2	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	7	9	0	0	0	0	0	0
fsh-generated/resources/Organization-108752.json	2388	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0
fsh-generated/resources/Organization-8564.json	2364	1	0	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	7	4	0	0	0	0	0	0
fsh-generated/resources/Parameters-expParam.json	153	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	0	0	0
fsh-generated/resources/Patient-102.json	1550	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0
fsh-generated/resources/Patient-291.json	651	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0
fsh-generated/resources/Practitioner-107302.json	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0
fsh-generated/resources/Practitioner-123.json	299	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
fsh-generated/resources/Practitioner-42.json	298	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
fsh-generated/resources/Provenance-1.json	841	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	6	8	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-relatedperson-videosms.json	960	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	7	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-relatedperson01.json	1731	1	0	0	0	0	0	0	0	501	0	0	0	0	0	1	0	0	0	0	8	4	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-access-consent.json	1260	1	0	31	1	0	0	0	0	22	0	0	0	0	0	0	0	1	0	0	165	649	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-access-provenance.json	2613	1	0	19	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	124	220	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionTrigger.json	5724	1	0	22	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	160	197	0	0	0	2	0	1
fsh-generated/resources/StructureDefinition-ehealth-actionguidance-for.json	3698	2	0	14	0	0	0	0	0	12	0	0	1	0	0	0	0	0	0	0	105	139	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionguidance-type.json	1450	1	0	6	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	43	94	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-actionguidance.json	5525	2	0	27	0	0	0	0	1	18	0	0	0	0	0	0	0	1	0	0	132	150	0	0	0	2	1	0
fsh-generated/resources/StructureDefinition-ehealth-activitydefinition.json	7397	2	0	49	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	259	277	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ehealth-administrative-status.json	1601	1	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	35	96	0	0	0	1	0	1
fsh-generated/resources/StructureDefinition-ehealth-aggregate-group-id.json	1443	1	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	33	84	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-aggregate-id.json	1415	1	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	39	85	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-aggregation-mode.json	1421	1	0	5	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	35	83	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-answer-Condition.json	3399	2	0	10	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	124	145	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-appointment.json	9304	2	0	34	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	232	203	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-ehealth-artifact-date.json	1493	1	0	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	33	83	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-assigning-careteam.json	1810	1	0	6	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	41	109	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-auditevent.json	714	1	0	23	0	0	0	1	0	8	0	0	0	0	0	0	0	1	0	0	172	169	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ehealth-base-environment.json	1425	1	0	6	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	54	94	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-base.json	1314	1	0	4	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	55	93	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-ehealth-basic-title.json	1272	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	33	81	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-carecommunication-datetime.json	1329	1	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	34	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-carecommunication-destination.json	1534	1	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	33	81	0	1	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-carecommunication-message-Type.json	1587	2	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	35	81	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-carecommunication-origin.json	1526	1	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	34	79	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-carecommunication-payload-identifier.json	1547	1	0	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	34	80	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-carecommunication-sender.json	4845	2	0	11	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	125	117	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-carecommunication.json	20581	3	0	806	0	0	0	0	0	45	0	0	1	0	0	0	0	1	0	0	440	389	0	0	0	9	0	1
fsh-generated/resources/StructureDefinition-ehealth-careplan-statusHistory.json	2469	1	0	7	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	79	92	0	0	0	2	0	0
fsh-generated/resources/StructureDefinition-ehealth-careplan-statusschedule.json	2642	1	0	7	0	0	0	0	1	9	0	0	0	0	0	0	0	1	0	0	80	95	0	0	0	1	1	0
fsh-generated/resources/StructureDefinition-ehealth-careplan.json	13489	2	0	34	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	383	382	0	0	0	8	0	1
fsh-generated/resources/StructureDefinition-ehealth-careteam.json	5248	0	0	12	0	0	0	0	0	20	0	0	0	0	0	0	0	1	0	0	174	169	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-assessor-organization.json	1640	1	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	35	98	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-assessor-other.json	1706	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	35	109	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-careplan.json	1621	1	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	35	127	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-decision.json	1556	1	0	3	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	35	106	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-decisionContext.json	1649	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	36	102	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-mediaInvestigationItem.json	1658	1	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	34	111	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-otherItem.json	1698	1	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	35	111	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ehealth-clinicalimpression-viewInvestigationItem.json	1649	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	36	102	0	0	0	0	0	1
