Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.ehealth.sundhed.fhir.ig.core.json	618574	-	0	0	0	0	0	0	28	161	0	0	0	0	0	0	0	2	0	0	1047	551	0	0	0	46	0	3
fsh-generated/resources/Appointment-appointment01.json	2562	5	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	17	22	0	0	1	0	0	0
fsh-generated/resources/Appointment-group-appointment01.json	5494	4	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	21	24	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-videoappointment01.json	4304	6	0	0	0	0	0	0	1	26	0	0	0	0	0	0	0	1	0	0	18	16	0	0	0	0	0	0
fsh-generated/resources/Appointment-videoappointment01.json	3439	5	0	0	1	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	27	13	0	0	0	0	0	0
fsh-generated/resources/CareTeam-108752.json	560	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/CareTeam-42.json	555	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Condition-42.json	523	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	11	0	0	0	0	0	0
fsh-generated/resources/Consent-1.json	901	4	0	0	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0
fsh-generated/resources/Consent-23.json	1282	2	0	0	0	0	0	0	0	505	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-42.json	719	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/Organization-108752.json	2388	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	12	0	0	0	0	0	0
fsh-generated/resources/Organization-8564.json	2364	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/Parameters-expParam.json	153	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	0	0	0	0	0	0
fsh-generated/resources/Patient-102.json	1550	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Patient-291.json	651	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-107302.json	302	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-123.json	299	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-42.json	298	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	0	0
fsh-generated/resources/Provenance-1.json	841	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	18	14	0	0	0	0	0	1
fsh-generated/resources/RelatedPerson-relatedperson01.json	1179	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-access-consent.json	1260	2	0	350	0	0	0	1	0	62	0	0	1	0	0	0	0	0	0	0	133	442	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-ehealth-access-provenance.json	2613	2	0	110	0	0	0	0	0	18	0	0	0	0	1	0	0	0	0	0	100	257	0	0	0	3	0	0
