Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-dk.ehealth.sundhed.fhir.ig.core.json	618574	-	0	0	1	0	0	0	40	97	0	0	0	0	0	1	0	3	0	0	1220	582	0	0	0	55	0	4
fsh-generated/resources/Appointment-appointment01.json	2562	4	0	0	0	0	0	0	1	66	0	0	0	0	0	0	0	0	0	0	20	23	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-appointment01.json	5494	7	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	23	27	0	0	0	0	0	0
fsh-generated/resources/Appointment-group-videoappointment01.json	4304	6	0	0	1	0	0	0	1	20	0	0	0	0	0	0	0	0	0	0	21	16	0	0	0	0	0	0
fsh-generated/resources/Appointment-videoappointment01.json	3439	7	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	18	15	0	0	0	0	0	0
fsh-generated/resources/CareTeam-108752.json	560	5	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0	0	0	0
fsh-generated/resources/CareTeam-42.json	555	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Condition-42.json	523	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	13	0	0	0	0	0	0
fsh-generated/resources/Consent-1.json	901	4	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	11	15	0	0	0	0	0	0
fsh-generated/resources/Consent-23.json	1282	3	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0
fsh-generated/resources/EpisodeOfCare-42.json	719	2	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Organization-108752.json	2388	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	12	0	0	0	0	0	0
fsh-generated/resources/Organization-8564.json	2364	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	12	9	0	0	0	0	0	0
fsh-generated/resources/Parameters-expParam.json	153	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0
fsh-generated/resources/Patient-102.json	1550	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Patient-291.json	651	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-107302.json	302	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/Practitioner-123.json	299	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	9	0	0	0	0	0	0
fsh-generated/resources/Practitioner-42.json	298	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	9	8	0	0	0	0	0	0
fsh-generated/resources/Provenance-1.json	841	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/RelatedPerson-relatedperson01.json	1179	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	11	12	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-ehealth-access-consent.json	1260	2	0	241	0	0	1	1	0	43	0	0	0	0	0	0	0	0	0	0	149	429	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-ehealth-access-provenance.json	2613	3	0	82	0	0	0	0	0	25	0	0	0	0	0	0	0	1	0	0	130	263	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-ehealth-actionTrigger.json	5724	2	0	51	1	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	138	273	0	0	0	3	0	0
